,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
760,Green Butterflies,5.4,162,2.11,51,0.22,3,0.13,2,0.01,4220.87,81643,19217.49,959944,113746.48,1165637,69609.0
761,Green Snake,7.69,242,0.56,25,0.72,16,0.13,5,0.04,1330.62,21131,18306.09,769773,43942.14,293941,87212911.0
762,Greenland,6.88,163,1.77,45,0.52,4,0.09,2,0.04,3963.28,161098,8270.08,180632,23076.14,156498,52300000.0
763,Gretel & Hansel,15.98,222,1.9,30,1.09,11,0.37,7,0.25,2633.39,78254,209287.53,6785122,72581.2,752706,22059211.0
764,Grießnockerlaffäre,2.261904761904762,10,0.6190476190476191,4,0.19047619047619047,3,0.07142857142857142,2,0.2619047619047619,595.0714285714286,2363,28953.02380952381,720450,36335.09523809524,699422,7017501.0
765,Grossery Gang Putrid Power Movie,1.0,1,0.0,0,0.0,0,0.0,0,0.0,645.0,645,2297.0,2297,2564.0,2564,200000.0
766,Growing Up,13.32,573,1.17,50,0.66,15,0.08,2,0.06,2104.82,64280,8618.55,482827,54681.75,1041382,28222.0
767,Guardians,3.31,36,0.95,18,0.38,4,0.13,4,0.05,5667.69,339643,71313.07,5655733,150515.98,7869054,4803565.0
768,Guardians of the Galaxy Vol. 2,8.87,237,4.32,154,0.29,5,0.41,10,0.23,4059.62,92206,163510.75,6462597,135327.73,1787644,863756051.0
769,Guests,15.55,496,2.42,42,1.13,30,0.63,42,0.1,2003.83,35936,22179.32,506435,38369.34,602329,493857.0
770,Guinness Guru,14.93,542,0.5,29,1.05,23,0.09,7,0.02,1213.72,5431,2946.34,14852,11475.54,115445,342322.0
771,Gully Boy,16.94,198,4.43,35,0.73,6,0.58,7,0.09,422.93,4283,173649.84,10306843,75158.5,871666,33974264.0
772,Gunda,15.52,699,2.91,185,0.76,30,0.22,13,0.03,998.31,6414,40489.44,3634335,37472.12,1353936,142531.0
773,Gunpowder Milkshake,77.1,4666,9.41,533,2.18,94,1.59,79,0.27,1595.64,13320,108252.96,4598451,68294.2,463482,1015760.0
774,Guns Akimbo,7.54,144,1.49,26,0.62,5,0.11,4,0.22,2912.56,91293,153139.72,7798585,103374.23,2016501,835102.0
775,HIT: The First Case,29.43,1624,7.89,467,2.25,77,0.49,25,0.24,792.47,4738,199542.59,6217943,72926.66,1100626,839559.0
776,HX-01,3.3970588235294117,31,1.5294117647058822,16,0.47058823529411764,2,0.19117647058823528,7,0.029411764705882353,1247.5441176470588,5828,5810.838235294118,83559,58460.882352941175,550530,12000.0
777,Hadi Be Oğlum,13.33,89,5.2,35,0.57,23,0.28,10,0.0,426.75,1583,7436.03,216748,38073.89,128174,2356353.0
778,Half Girlfriend,11.1,213,4.29,59,0.56,12,0.13,3,0.05,521.69,7976,15458.61,1006702,30965.72,334752,12805400.0
779,Halloween,5.4,62,0.99,29,0.55,7,0.2,5,0.06,1079.11,12212,86293.79,7526467,99046.25,6380413,255614941.0
780,Halloween Ends,82.72,6858,12.24,754,4.05,268,0.51,38,0.02,1225.8,14445,55534.36,4731161,23367.84,184154,103000000.0
781,Halloween Kills,10.22,145,0.8,14,0.77,12,0.4,22,0.1,1410.88,23722,265008.17,23294721,71345.73,1833196,131647155.0
782,Hamah,3.25,69,1.84,43,0.24,3,0.12,3,0.0,161.96,1933,4985.72,35395,18993.37,109431,8357.0
783,Hampstead,2.94,24,0.98,8,0.32,3,0.11,1,0.1,2653.2,35694,11997.94,136645,31947.0,581757,6335171.0
784,Hangover Time,16.27,1041,0.94,31,0.89,26,0.26,16,0.02,1252.39,22827,14109.26,491786,35337.88,242698,10000.0
785,Hanson and the Beast,12.85,51,8.33,56,0.18,2,0.07,1,0.01,270.42,4858,5358.11,125141,18567.58,173173,42690682.0
786,Happiest Season,39.16,1333,4.34,118,0.95,8,0.79,48,0.06,978.95,5562,53765.81,4901841,61411.07,389238,1401954.0
787,Happy Birthday,5.72,124,1.53,33,0.8,27,0.14,4,0.02,802.6,6143,1283.84,18019,44983.44,938641,2536386.0
788,Happy Death Day,5.82,136,1.23,37,0.45,9,0.19,7,0.19,6500.41,230872,71837.69,2870663,56765.88,444262,125479266.0
789,Happy Death Day 2U,11.12,294,2.43,40,0.81,12,0.47,6,0.33,6613.16,230875,262727.9,10827050,75192.21,791873,25327500.0
790,Hard Kill,7.35,115,0.81,14,1.0,13,0.14,4,0.11,2040.42,35636,16366.9,290970,44433.56,361736,111523.0
791,Haseena Parkar,20.39,246,6.58,49,1.05,17,0.3,5,0.14,347.02,3562,151235.87,6316772,43842.79,698165,1240000.0
792,Hatching,10.56,208,1.74,49,0.92,23,0.9,71,0.09,3342.21,200582,130582.17,4274745,36349.67,482864,490000.0
793,Hate Story IV,44.23,1817,12.73,806,2.44,80,0.49,33,0.07,582.11,4466,26402.23,850403,36490.44,269510,3200000.0
794,Haunted Hill,17.57,729,4.27,209,1.04,19,0.25,8,0.04,1163.89,16730,13498.36,506443,53633.52,730729,30217.0
795,Haunted Road 2,3.36,21,1.84,12,0.18,2,0.0,0,0.04,1315.2,12234,4711.46,32863,33454.9,404704,1320000.0
796,Havas,4.2,33,1.6,42,0.35,5,0.17,4,0.12,1716.32,26166,20176.57,691956,31837.45,284786,100000.0
797,Hawaii,35.86,2840,14.11,1242,1.03,74,3.13,291,0.1,3367.7,121905,199110.49,17753419,50778.32,451626,134438.0
798,Heart - Live at the Royal Albert Hall with The Royal Philharmonic Orchestra,1.2,2,0.2,1,0.0,0,0.0,0,0.2,802.2,2840,10352.8,27626,48508.2,154660,1000000.0
