,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
0,#Alive,25.85,209,5.4,79,0.43,8,0.64,13,0.01,173.79,1558,12501.66,749257,33582.17,667840,13416285.0
1,#Зановородиться,3.241758241758242,18,0.26373626373626374,4,0.17582417582417584,2,0.02197802197802198,1,0.06593406593406594,295.6263736263736,5956,46537.0989010989,1887161,22606.714285714286,381984,36000.0
2,10 Days Without Mum,12.21,201,2.35,69,1.49,38,0.23,9,0.05,1058.8,13553,167526.55,8253016,52813.03,1728144,9305412.0
3,100% Wolf,13.45,218,1.75,52,2.01,35,0.24,12,0.08,1540.31,16522,9245.41,246460,40752.82,390406,4608579.0
4,12 Feet Deep,4.05,36,1.27,12,0.11,2,0.18,7,0.09,2293.47,44143,15198.97,299703,54234.73,852802,6158.0
5,12 Mighty Orphans,7.58,74,1.52,26,0.62,9,0.19,2,0.36,7023.72,230877,178913.6,3995485,72244.07,1204060,3615193.0
6,12 Strong,19.23,1068,7.99,164,1.57,65,0.2,5,0.27,7863.5,651275,193318.62,3414060,79909.56,1385191,67450815.0
7,13 Minutes,16.86,583,2.21,76,0.99,17,0.16,4,0.05,1164.84,6436,22737.6,769773,36176.2,258537,67413.0
8,18 Presents,11.91,265,5.47,208,0.84,27,0.19,2,0.05,882.84,9595,3885.42,42956,22905.21,205084,3486375.0
9,1917,30.12,1840,6.65,320,1.36,39,0.74,34,0.2,2317.4,40055,35796.7,436110,93036.54,876614,374733942.0
10,1971: Beyond Borders,2.62,24,0.83,8,0.09,3,0.08,2,0.01,294.97,12212,40684.08,49545,50312.52,145823,1100000.0
11,1987: When the Day Comes,11.142857142857142,180,9.702380952380953,245,0.40476190476190477,8,0.6785714285714286,28,0.13095238095238096,395.9404761904762,4241,74607.63095238095,4550521,51308.65476190476,460599,49380115.0
12,2.0,22.83,1319,6.08,311,0.58,9,0.55,44,0.08,1194.29,20377,18310.72,773295,35552.77,425538,114629169.0
13,2000 Mules,43.15,1301,15.69,548,2.45,56,0.74,22,0.02,2484.58,63490,36429.23,2868722,24826.5,333282,765000.0
14,2019: A Cinematic Odyssey,35.5,69,6.0,12,1.0,2,1.0,2,0.0,1440.0,1949,3566.0,4675,1623.5,2560,100000.0
15,2020 (G)I-DLE Online Concert 'I-Land : Who Am I',2447.5,20830,466.39,4167,67.45,1205,46.44,1041,0.46,162.22,2027,310220.9,1777269,22690.18,401738,363000.0
16,20:16,8.54,141,4.28,70,0.48,6,0.43,19,0.14,2357.2,28977,48349.13,2801249,83205.72,1006482,722765.0
17,20th Century Women,9.24,324,2.74,65,0.52,7,0.25,4,0.25,4346.15,167851,362765.89,19400354,99400.41,2016501,5664764.0
18,21 Bridges,39.61,3063,5.5,385,1.07,52,0.54,43,0.19,1099.97,6690,88410.98,2656211,68412.21,602329,49939757.0
19,21 Days Later,6.16,100,0.94,20,0.74,21,0.16,5,0.09,2396.71,103175,44546.47,1646897,68173.82,2480140,10000.0
20,211,9.21,442,6.85,578,0.47,13,0.08,2,0.01,988.35,14307,3028.7,76508,58518.37,1162875,1052222.0
21,24 Hours to Live,7.5,365,1.69,45,0.37,11,0.1,5,0.21,3373.22,94527,87571.51,1013773,66051.66,1204459,5805201.0
22,2:22,4.48,129,0.56,22,0.45,2,0.07,3,0.01,2101.46,122704,3818.04,146381,45621.59,303384,3945729.0
23,3 Bahadur: Rise of the Warriors,43.206896551724135,466,3.7586206896551726,41,1.1724137931034482,14,0.10344827586206896,1,0.13793103448275862,611.7241379310345,4695,275197.6551724138,2636509,21116.241379310344,183174,435787.0
24,3 Bahadur: The Revenge of Baba Balaam,6.779661016949152,43,1.3898305084745763,9,0.05084745762711865,2,0.05084745762711865,2,0.05084745762711865,472.5762711864407,4695,48882.40677966102,131815,16903.4406779661,149431,640691.0
25,3 from Hell,16.96,299,2.9,56,1.69,28,0.65,26,0.16,4634.45,123867,39894.5,503490,60859.66,462224,2295825.0
26,30 Days Max,37.86,1018,15.05,994,3.11,54,2.47,66,0.06,1160.47,16232,21438.81,299568,24636.73,204905,11208529.0
27,365 Days,11.87,165,1.42,26,1.13,19,0.22,5,0.03,972.17,9884,7210.25,251965,31005.41,298648,9458590.0
28,47 Meters Down,4.93,99,3.41,225,0.48,5,0.2,8,0.06,2427.53,92513,33770.1,2316481,41270.65,321280,44235023.0
29,4x4,5.44,51,0.92,16,0.63,21,0.09,5,0.02,4128.31,53394,8021.16,218666,31781.22,288206,1292773.0
30,5 Is the Perfect Number,6.39,258,0.77,24,1.1,28,0.24,17,0.05,967.28,10362,10175.18,236690,39686.12,311021,544436.0
31,5 in the Afternoon,3.62,72,0.49,11,0.48,4,0.12,3,0.02,659.48,4066,4498.83,160710,32941.59,386008,50000.0
32,52Hz,3.09,39,1.14,19,0.23,3,0.05,1,0.03,710.71,4999,3358.1,99143,50266.23,664172,1500000.0
33,63 Up,7.64,96,0.66,11,0.87,14,0.1,3,0.04,2288.75,45084,30800.21,2278408,52738.83,917012,483684.0
34,7 Days in Entebbe,3.28,18,0.96,16,0.39,7,0.11,1,0.26,2860.08,120922,146357.26,2701366,87818.76,1013222,9196740.0
35,7 Guardians of the Tomb,7.0,7,2.0,2,1.0,1,0.0,0,0.0,55.0,55,161.0,161,5218.0,5218,7910928.0
36,7 Witches,5.48,49,4.16,104,0.44,12,0.22,9,0.02,3287.88,59661,5703.26,58798,93496.95,1925850,31100.0
37,70 Big Ones,4.34,72,0.53,9,0.57,4,0.08,2,0.04,1728.59,23871,19044.81,1256273,39154.67,670893,159630.0
38,77 Heartwarmings,16.727272727272727,176,9.927272727272728,136,0.2,3,0.36363636363636365,8,0.14545454545454545,256.2181818181818,2000,177017.83636363636,1474787,47107.92727272727,376728,4345693.0
39,83,5.04,171,0.51,22,0.37,7,0.12,9,0.03,1812.0,68584,159995.94,13169426,79658.67,3322931,25452983.0
40,8969,1.75,13,0.63,14,0.27,3,0.04,3,0.01,1436.29,64598,7647.2,412437,34116.9,322981,6000000.0
41,A Bad Moms Christmas,2.65,48,0.78,12,0.13,1,0.12,5,0.16,6176.8,92206,38086.24,792448,79035.12,646527,130560428.0
42,A Bag of Marbles,6.07,349,1.79,131,0.48,6,0.27,14,0.05,1469.85,19298,8099.83,141396,42419.35,439884,10898998.0
43,A Beautiful Day in the Neighborhood,7.78,136,1.41,34,0.81,50,0.15,2,0.14,5194.13,120922,38493.66,1095446,67465.14,2016501,67925733.0
44,A Cure for Wellness,3.06,37,0.87,12,0.44,5,0.25,6,0.17,3632.73,120921,85556.67,3032993,83252.95,640537,26620002.0
45,A Day,4.28,60,0.82,8,0.39,4,0.09,3,0.06,1947.97,90509,5795.74,172665,40611.5,371996,8500000.0
46,A Dog's Journey,20.3,716,7.19,274,1.14,21,0.6,24,0.15,2023.19,40311,147227.89,6083965,53524.3,478331,2520000.0
47,A Dog's Purpose,25.09,1289,22.26,989,1.97,47,6.29,314,0.22,2384.28,91294,203085.65,8843286,98633.73,2016501,205035819.0
48,A Dog's Way Home,6.31,114,6.12,161,0.36,4,0.14,5,0.12,4926.36,92207,162182.36,7798612,70161.81,411723,17643857.0
49,A Family,6.45,111,1.5,76,0.74,7,0.12,2,0.02,1053.22,5647,4086.55,148457,37967.66,633989,2168905.0
50,A Family Man,7.91,238,2.3,80,0.69,32,0.28,7,0.09,1389.63,18992,10799.56,441560,53571.86,468712,1641235.0
51,A Fantastic Woman,3.9,66,2.12,123,0.39,3,0.04,1,0.05,1951.82,30629,15110.28,435089,51634.13,1557209,1880736.0
52,A Few Less Men,2.2,33,0.69,7,0.09,3,0.06,2,0.12,1226.19,7916,9058.07,365082,45892.53,582130,380806.0
53,A Ghost Story,5.67,112,2.05,55,0.43,6,0.08,2,0.08,2932.65,129278,16392.04,565307,58949.06,302941,1929659.0
54,A Good Doctor,7.94,329,2.25,77,1.47,56,0.27,9,0.05,2293.53,23658,19781.05,816920,57547.86,452484,6294941.0
55,A Hidden Life,11.19,596,1.37,49,0.97,35,0.47,33,0.13,1602.52,31502,71814.08,6390621,40246.69,252790,4612788.0
56,A Journal for Jordan,9.1,260,2.61,67,0.52,12,0.17,4,0.27,11562.69,600600,519287.54,25656799,137800.0,966454,6200000.0
57,A Madea Family Funeral,26.09,2106,3.5,229,1.77,133,0.52,35,0.25,2461.12,45787,186200.82,6685895,59483.42,488785,46115383.0
58,A Mouthful of Air,17.62,449,2.16,25,0.43,7,0.4,8,0.3,4883.7,230877,799833.12,25657149,116741.4,1125279,212833.0
59,A Prayer Before Dawn,9.25,242,1.38,28,0.53,9,0.26,5,0.11,2540.14,33540,18388.31,641443,48518.28,650174,958883.0
60,A Question of Faith,4.73,113,1.21,29,0.19,8,0.09,2,0.11,4928.99,119536,25045.39,1439494,20914.05,189060,2587072.0
61,A Quiet Place,14.97,390,3.28,76,0.55,7,0.48,18,0.14,1317.72,21000,59350.58,3534585,43480.84,393563,340952971.0
62,A Quiet Place Part II,273.59,26376,5.1,404,3.68,232,0.61,41,0.21,2550.43,56970,534756.76,18568124,75316.66,698606,297372261.0
63,A Rainy Day in New York,19.31,632,3.3,61,0.62,10,0.49,20,0.01,1880.88,91293,29008.37,565307,75470.87,2016501,23800000.0
64,A Shaun the Sheep Movie: Farmageddon,14.96,339,5.77,143,0.78,43,0.62,26,0.23,2578.71,6551,42317.89,857086,61540.37,149958,42880428.0
65,A Simple Favor,12.34,573,3.13,159,0.33,7,0.45,30,0.12,5513.27,292021,243627.61,11979228,64209.88,728833,97644617.0
66,A Special Day,25.85,1560,6.24,455,2.45,122,0.68,53,0.2,1356.44,8795,56323.25,2475662,40189.21,432819,60000.0
67,A Star Is Born,28.31,1210,3.8,196,0.83,23,0.18,7,0.1,1862.95,87890,11119.87,390029,53255.57,511659,433888866.0
68,A Stroke of Luck,2.6,23,1.08,30,0.31,2,0.12,1,0.09,2199.53,48570,33788.23,1048105,109254.74,2704137,12304617.0
69,A Taxi Driver,3.08,45,0.84,26,0.47,3,0.16,4,0.08,2065.29,48266,29913.55,2043221,47105.65,693441,81927980.0
70,A Thief's Daughter,6.86,88,4.27,86,0.27,4,0.6,20,0.09,7524.96,230877,68413.53,2870719,48936.96,403043,317244.0
71,A Wink and a Smile,3.92,45,0.76,12,0.45,2,0.08,1,0.03,2138.6,27800,7240.12,81945,39839.42,286620,19459.0
72,A Wrinkle in Time,14.01,725,3.74,152,0.64,9,0.22,3,0.2,3080.54,99686,20241.93,351303,98692.46,3322790,132675864.0
73,A Writer's Odyssey,23.64,127,5.95,47,0.49,4,0.3,6,0.09,2744.26,230877,53498.56,2870716,24252.19,403043,150123320.0
74,AINBO: Spirit of the Amazon,15.046511627906977,102,7.1395348837209305,51,0.3023255813953488,2,0.27906976744186046,3,0.023255813953488372,2449.767441860465,35691,7138.2558139534885,68095,38369.441860465115,287046,7877742.0
75,ALL COPS AIN'T BAD,4.55,41,0.62,14,0.44,3,0.04,1,0.01,1301.75,15123,2129.64,28886,39390.06,487009,350000.0
76,ATL 2: The Homecoming,7.666666666666667,68,0.3333333333333333,2,0.4166666666666667,2,0.25,3,0.16666666666666666,907.8333333333334,2518,65888.75,693962,61631.166666666664,143865,31200000.0
77,Aadhi,22.67,636,4.16,196,0.39,11,0.05,1,0.03,608.64,7891,28998.41,1287276,22814.98,184704,4370000.0
78,Abe,7.17,202,0.48,22,0.61,4,0.04,1,0.03,1037.44,19124,4194.17,125815,41109.4,648990,28657.0
79,Abigail,50.96,4340,12.61,1146,0.53,12,0.64,48,0.01,932.86,12833,2862.08,66782,33283.56,306912,1940234.0
80,Abominable,18.91,712,5.35,222,3.18,235,0.27,8,0.1,4234.02,172823,81204.24,4731083,44430.27,428423,180289970.0
81,About Endlessness,9.77,192,1.15,18,0.47,5,0.35,22,0.12,3837.31,230872,59863.42,2870638,39158.35,669173,18666.0
82,About Love,4.71,98,1.27,34,0.73,37,0.39,18,0.06,1748.51,40366,15475.01,340392,39610.05,407189,182710.0
83,About Love. Adults Only,2.1875,9,0.8125,5,0.4375,2,0.3125,2,0.3125,2332.5,6285,25336.875,95708,61896.5,233004,2157136.0
84,Above Suspicion,9.63,254,1.87,42,0.65,6,0.13,7,0.02,3683.48,85713,9270.12,242480,85402.75,3461856,21712.0
85,Abracadabra,4.65,73,2.1,32,0.27,4,0.13,4,0.16,4497.67,77129,59974.89,968400,191897.31,2338826,2114260.0
86,Abuela's Luck,2.3125,8,0.625,3,0.125,2,0.375,2,0.0625,2119.3125,4203,1238.6875,8041,8693.4375,20914,10000.0
87,Achayans,11.73,223,1.11,19,0.83,29,0.05,2,0.1,808.9,4019,43061.22,1287274,33989.16,399175,1800000.0
88,Acrimony,7.31,86,2.58,49,0.69,21,0.52,17,0.23,1421.31,12951,250141.95,7798592,60796.73,553470,34764055.0
89,Action Point,6.77,90,1.41,12,0.68,7,0.19,3,0.37,2019.35,43979,172940.6,6462592,43799.37,478331,5059608.0
90,Active Shooter,4.01,51,2.32,19,0.41,5,0.19,3,0.19,3357.05,50854,63485.62,1226039,47799.84,627393,250000.0
91,Acts of Vengeance,4.2,152,1.37,49,0.45,19,0.13,4,0.12,6253.12,230872,106032.9,2870663,111956.51,1833166,320705.0
92,Ad Astra,13.22,353,2.1,45,1.01,27,0.16,5,0.23,1600.63,17657,55658.57,1521464,98187.67,873928,132807427.0
93,Adiós,34.97,1589,9.69,565,1.39,67,0.6,42,0.04,1102.25,15579,78054.41,3561438,54278.69,418015,2197075.0
94,Adrift,3.46,39,0.77,16,0.57,5,0.16,8,0.03,1367.11,37276,2714.78,40250,48070.7,446138,59900000.0
95,After,7.16,161,0.72,12,0.8,27,0.13,4,0.08,1964.6,70836,9317.26,229382,48208.01,478819,69497587.0
96,After Ever Happy,89.61,2746,11.38,292,5.54,169,2.66,92,0.08,536.86,3469,14936.28,305451,21042.42,245200,12467270.0
97,After Midnight,8.57,359,4.99,368,0.61,13,0.6,38,0.09,1659.76,26175,11259.75,594066,53161.9,873928,6713.0
98,After We Collided,62.1,4176,5.02,277,1.99,122,0.76,41,0.01,741.55,5019,6136.64,406231,23554.15,220294,42000000.0
99,After We Fell,99.87,7019,17.78,1288,4.75,307,2.06,118,0.07,1925.48,87889,85245.07,3340804,38253.87,517368,21500000.0
100,After Yang,51.29,3103,4.34,248,0.82,14,1.95,158,0.2,1840.53,12254,48529.74,1768971,69360.48,669198,131465.0
101,After the Wedding,19.14,1405,1.53,44,0.72,21,0.2,11,0.24,3926.3,120922,385968.84,20111122,85362.99,2016501,2790019.0
102,Aftermath,16.1,516,4.82,217,0.83,20,0.56,26,0.1,2687.28,29299,31799.71,986382,57318.96,1159698,261465.0
103,Afterwards,12.0,796,2.04,88,1.37,73,0.17,9,0.04,1831.67,38366,18217.41,1301401,62172.97,656457,800000.0
104,Agatha and the Truth of Murder,3.8,8,0.8,2,0.0,0,0.2,1,0.2,4979.6,21309,11133.2,24790,9127.2,33908,77542.0
105,Agent Backkom: Kings Bear,12.0,23,2.0,3,0.0,0,0.0,0,0.5,296.0,575,2096895.0,4193771,102598.0,189034,8500000.0
106,Agent Mr. Chan,3.2,23,0.35,2,0.4,2,0.0,0,0.0,1349.9,6160,9998.7,47153,23026.3,72671,208351.0
107,Ah Girls Go Army,6.52,118,1.46,36,0.7,10,0.94,41,0.09,463.71,3259,41138.66,1230565,52647.98,656233,1785000.0
108,Aiyaary,31.09,766,8.42,127,1.04,29,0.27,3,0.13,659.03,7500,45175.88,1926830,38274.14,327668,41000000.0
109,Ala Vaikunthapurramuloo,33.51,1251,11.44,323,0.97,22,0.23,3,0.02,590.62,4783,11618.0,744193,49180.83,296129,28859072.0
110,Aladdin,13.37,295,1.98,51,0.76,16,0.47,18,0.1,2488.33,76913,27710.47,1991693,117846.36,7250255,1047612394.0
111,Alibi.com,11.65,291,4.46,116,0.74,22,0.08,3,0.19,759.71,5001,81806.84,3835497,49211.01,380412,29370592.0
112,Alien: Covenant,5.41,112,1.62,24,0.5,5,0.1,2,0.16,1745.46,48331,18633.18,198499,47194.0,358735,240891763.0
113,Aline,2.28,58,0.15,6,0.53,3,0.02,1,0.01,1217.14,7718,1543.54,36038,36495.82,268352,11131254.0
114,Alita: Battle Angel,9.75,294,3.9,206,0.55,12,0.69,41,0.11,1675.39,30507,30205.29,478055,49564.83,301867,404980000.0
115,Alive: Who Is There?,20.58,785,2.64,72,2.26,53,0.3,11,0.07,1390.34,12617,79725.43,7444780,45845.8,614295,40006.0
116,All Eyez on Me,3.81,69,0.98,23,0.29,8,0.1,2,0.04,8494.42,93392,17543.9,905186,81665.78,524363,44922302.0
117,All I See Is You,6.27,251,2.61,183,1.03,49,0.39,24,0.02,2053.77,88316,3725.34,130464,45172.08,1061821,646946.0
118,All My Life,10.33,421,4.17,342,1.0,14,0.44,28,0.05,1615.39,25695,3915.09,165602,42682.48,1325272,2000000.0
119,All You Need is Crime,16.45,1061,6.23,442,0.82,24,0.29,14,0.05,6886.85,231430,18225.84,515657,52245.27,494122,4695495.0
120,All the Devil's Men,7.03,52,2.34,14,0.67,6,0.21,3,0.1,2857.1,70340,16024.43,156937,43574.91,291187,65829.0
121,All the Money in the World,8.27,140,1.63,45,0.78,18,0.4,17,0.31,4881.67,92273,701697.74,54733492,109614.14,2016501,56996304.0
122,Along with the Gods: The Last 49 Days,38.5,961,26.93,768,0.92,20,4.8,224,0.11,410.14,4228,60324.22,1474779,61093.43,385943,112790210.0
123,Along with the Gods: The Two Worlds,35.65,2002,26.54,1178,0.56,32,1.11,44,0.06,855.34,45078,84985.32,3518080,66661.99,385932,125983972.0
124,Alpha,5.46,78,0.53,10,0.48,7,0.07,2,0.03,985.32,8584,4088.23,208970,26161.68,219422,35808437.0
125,Amazon Obhijaan,25.24,857,4.8,108,1.14,37,0.22,7,0.1,502.24,3329,49914.23,1396330,23415.24,176288,7082000.0
126,Ambulance,10.56,151,1.54,32,2.36,113,0.26,11,0.1,2268.82,68811,15442.41,498092,40644.45,436130,51783040.0
127,American Animals,14.93,502,2.44,30,0.65,16,0.21,4,0.35,3098.32,91293,533291.1,14984793,81928.1,2016501,2847319.0
128,American Assassin,35.16,601,9.73,175,0.57,10,0.53,9,0.11,4726.71,230872,75607.85,2870653,49854.17,640538,67200000.0
129,American Desert,21.55,463,3.02,45,1.09,18,0.32,9,0.15,2201.14,26554,137566.74,9086383,62071.19,605650,244000.0
130,American Fighter,10.32,106,2.24,72,1.33,31,0.25,10,0.11,2244.11,56845,27355.07,1087878,31712.56,382226,6361.0
131,American Made,7.87,119,2.58,33,0.59,5,0.28,6,0.24,6044.0,230872,114390.29,3443068,115054.61,1828600,133511855.0
132,American Satan,23.28,384,6.1,167,0.95,35,0.55,30,0.06,1626.5,13209,33956.56,1366428,48174.41,728833,237708.0
133,American Traitor: The Trial of Axis Sally,6.0,34,1.1818181818181819,6,0.30303030303030304,2,0.30303030303030304,3,0.18181818181818182,8120.969696969697,120922,376403.3333333333,7798651,84906.66666666667,411725,2011012.0
134,American Underdog,47.0,3752,8.57,712,2.58,168,0.65,34,0.33,6657.83,230877,255235.12,10827139,99464.32,1204068,25000000.0
135,Ammonite,26.56,588,2.81,81,0.7,9,1.36,60,0.1,973.32,8054,9827.03,198775,30361.07,197870,1396905.0
136,Amsterdam,17.93,652,2.42,70,1.0,10,0.32,24,0.03,3613.37,230877,39125.32,2870725,25919.24,403043,24211191.0
137,An Inconvenient Sequel: Truth to Power,17.84,376,8.74,261,1.86,54,1.23,35,0.25,3037.63,20592,336830.48,11921785,67501.93,1223686,5398976.0
138,An Officer and a Spy,115.04,8586,43.06,2589,8.97,400,13.85,817,0.18,5859.94,230872,112696.94,2870648,79904.95,2016501,18878646.0
139,And All Their Men,47.2,3927,4.04,215,1.7,74,0.34,8,0.04,3211.67,70023,22302.91,846446,53055.45,525132,805000.0
140,And Then We Danced,7.91,78,1.85,23,0.65,10,0.27,6,0.16,1314.91,31959,826674.11,27126423,42737.76,326802,416167.0
141,Andhadhun,19.25,285,3.8,30,0.67,6,0.14,1,0.25,619.43,5754,148019.31,4538552,39494.14,686104,40000000.0
142,Andre and His Olive Tree,3.0,5,0.5,1,0.0,0,0.0,0,0.0,452.0,618,1330.5,2580,31505.0,61922,350544.0
143,Ang Panday,18.54,400,8.17,241,0.48,8,0.27,10,0.08,1272.91,52493,191911.65,8831988,68782.24,1023403,10449798.0
144,Angamaly Diaries,7.81,175,1.04,19,0.22,3,0.1,2,0.09,874.26,11996,26577.74,354043,41854.89,399172,3100000.0
145,Angel Has Fallen,8.39,108,1.1,33,0.38,4,0.15,4,0.18,2150.33,75176,174723.88,7798551,51918.23,730985,146661977.0
146,Angel of Mine,20.97,1493,3.64,237,0.76,47,0.34,25,0.08,2469.72,92909,57236.52,1699388,55847.77,745286,230193.0
147,Aniara,3.23,26,0.58,6,0.45,4,0.09,1,0.13,2366.36,56522,33666.33,1763176,34883.69,276368,40124.0
148,Anjaam Pathiraa,12.48,155,1.38,21,0.34,8,0.04,1,0.12,714.8,2163,18427.08,145410,67616.96,446923,6561680.0
149,Ankarajyathe Jimmanmar,11.290322580645162,78,0.8709677419354839,11,0.6129032258064516,4,0.06451612903225806,1,0.06451612903225806,659.6129032258065,1830,8363.838709677419,75670,29346.25806451613,257490,215000.0
150,Anna,4.72,61,0.6,15,0.54,8,0.09,3,0.0,1647.71,53845,2236.82,59737,40187.17,474634,31626978.0
151,Annabelle Comes Home,9.28,94,1.48,28,0.83,8,0.09,2,0.22,4911.27,230875,54122.99,2870692,47858.88,441737,231252591.0
152,Annabelle: Creation,16.47,322,8.38,236,2.59,44,0.9,19,0.23,2010.19,14088,155493.03,4550517,47966.18,228023,306515884.0
153,Annette,25.87,1254,3.06,166,1.58,77,7.95,785,0.04,2989.78,34360,6523.73,152921,48181.74,442969,3642692.0
154,Annihilation,9.73,165,4.2,204,2.34,133,0.94,72,0.23,3716.35,120921,164419.39,9501220,91250.54,1334957,43070915.0
155,Another Day of Life,41.88,2572,19.02,1380,1.6,45,0.88,26,0.05,1738.36,13619,29049.97,2145803,37214.82,187096,134801.0
156,Another Round,26.13,1185,8.56,595,2.74,205,0.73,59,0.15,1177.52,8233,19418.68,587493,41530.34,630887,21700000.0
157,Ant-Man and the Wasp,17.46,954,3.1,103,0.99,68,0.11,6,0.2,3123.04,81004,160446.91,5248302,114031.64,1308949,622674139.0
158,Antebellum,10.75,210,2.46,50,0.69,14,0.84,46,0.24,1888.09,31541,118221.19,2656216,199538.63,1364231,7060384.0
159,Anthony Joshua vs. Carlos Takam,2.98,54,1.38,18,0.38,6,0.12,4,0.39,1949.26,20989,50027.0,456727,72047.04,619048,34134173.0
160,Antlers,9.15,356,0.54,9,0.85,18,0.08,3,0.09,1393.12,21180,83272.14,6462589,49136.04,577863,18312201.0
161,Apostasy,4.02,48,1.71,28,0.39,6,0.18,5,0.03,9615.43,94499,15433.76,277936,70967.67,598855,434336.0
162,April 15th,35.26,2834,15.68,1377,0.87,44,0.7,59,0.04,924.02,8090,28014.76,2231033,23171.49,370304,7500.0
163,Aquaman,13.71,395,1.88,42,0.81,30,0.35,7,0.09,1570.34,40935,46033.11,1758963,54497.74,785740,1148528393.0
164,Araf 3: Cinler Kitabi,2.4444444444444446,5,1.0,2,0.1111111111111111,1,0.1111111111111111,1,0.0,438.55555555555554,1500,15820.0,66658,45787.444444444445,147316,105884.0
165,Archenemy,14.41,286,1.46,37,0.8,13,0.37,10,0.14,2002.59,47814,69916.39,3443089,50344.94,478333,136240.0
166,Arctic,3.79,42,0.9,30,0.65,5,0.15,3,0.07,1243.5,12099,27979.38,1632066,41437.62,503919,4100000.0
167,Ardaas Karaan,6.32,210,1.3,37,0.33,13,0.06,3,0.06,1744.95,4618,34642.54,2396314,7182.9,181604,4165528.0
168,Arif V 216,7.29,94,0.59,17,0.35,6,0.04,1,0.03,434.9,5737,12265.95,591859,22222.49,212241,3501037.0
169,Arjun Reddy,24.8,554,4.82,161,0.69,15,0.23,5,0.13,701.66,4690,35796.37,708956,26780.49,326627,8000000.0
170,Armaan: Story of a Storyteller,3.5454545454545454,15,1.0,4,0.0,0,0.0,0,0.0,320.6363636363636,1090,779.0909090909091,6377,2487.3636363636365,7665,7494.0
171,Armed Response,8.51,163,2.86,57,0.68,10,0.2,8,0.14,1684.72,32923,18666.45,279853,52003.91,544406,52036.0
172,Army of the Dead,10.53,152,1.42,34,0.99,26,0.35,14,0.21,2568.21,120922,57792.48,1466541,56111.49,525635,780000.0
173,Asahinagu,2.96,22,1.08,32,0.14,1,0.01,1,0.0,425.27,3236,2018.61,48886,23443.61,424281,4561211.0
174,Ascendant,3.86,42,0.26,5,0.79,4,0.08,1,0.01,1451.72,47814,4534.62,144428,42776.03,462246,318989.0
175,Aschhe Abar Shabor,37.833333333333336,143,3.8333333333333335,9,1.8333333333333333,5,1.0,6,0.3333333333333333,350.3333333333333,690,23558.666666666668,93367,5368.833333333333,19826,1632236.0
176,Ashfall,84.57,1754,21.86,349,0.86,24,0.54,10,0.03,731.69,13675,139072.15,6083998,64800.41,744375,61321941.0
177,Assassin's Creed,3.84,48,0.84,17,0.7,16,0.14,6,0.1,1179.27,33540,271787.14,19400358,66986.33,1353770,240697856.0
178,Assassination Nation,12.61,355,9.22,730,2.14,86,1.13,47,0.47,2300.31,78251,154206.45,2701369,58284.39,455259,2900000.0
179,Asterix: The Secret of the Magic Potion,49.0,76,27.5,50,0.0,0,5.0,10,1.0,757.5,1093,373210.0,571139,47742.0,73862,47349002.0
180,At the Mountains of Madness,5.56,85,0.64,16,0.61,7,0.1,2,0.03,1039.57,7209,4503.72,129111,39381.54,201464,12000.0
181,Atomic Blonde,14.74,815,4.23,233,0.6,17,0.6,30,0.16,1805.24,75949,50281.6,2713440,38610.71,398362,100014025.0
182,Attraction,9.605,212,1.195,17,0.635,10,0.21,14,0.045,4973.015,180881,12203.48,269802,80755.905,1345531,19454845.0
183,Attraction,9.605,212,1.195,17,0.635,10,0.21,14,0.045,4973.015,180881,12203.48,269802,80755.905,1345531,755018.0
184,August,15.83,936,7.46,636,1.25,41,0.55,33,0.02,1895.36,72376,6563.44,308017,41681.64,490842,100000.0
185,Automaton,9.53,89,1.24,24,0.42,2,0.02,1,0.01,1498.43,23632,3838.33,75666,32762.27,255486,9859.0
186,Ava,17.465,2767,4.78,874,1.135,68,0.48,81,0.045,1692.775,88764,40849.635,2658505,50703.11,999739,500000.0
187,Ava,17.465,2767,4.78,874,1.135,68,0.48,81,0.045,1692.775,88764,40849.635,2658505,50703.11,999739,2987741.0
188,Avengers: Endgame,3.93,42,1.41,77,0.62,17,0.06,1,0.05,1330.43,22842,13922.76,741640,48045.77,647341,2797800564.0
189,Avengers: Infinity War,19.95,1166,2.64,129,1.44,35,0.38,10,0.14,2282.43,33540,107655.47,3340707,62657.53,929283,2046239637.0
190,Ayaal Sassi,1.5,4,0.2857142857142857,1,0.07142857142857142,1,0.07142857142857142,1,0.0,905.8571428571429,2163,12902.642857142857,97498,29946.35714285714,94773,20000.0
191,Ayushman Bhava,54.42,996,5.43,94,0.71,23,0.2,5,0.21,450.2,4866,33476.24,250402,29864.57,292292,5780.0
192,Azar,2.24,33,0.72,15,0.34,3,0.03,1,0.02,700.73,4991,20576.35,1510852,54173.4,396004,10000.0
193,Azor,7.95,178,0.61,9,0.55,4,0.1,3,0.12,908.1,6997,64423.64,2701362,20388.03,212240,74701.0
194,Açaí,2.26,36,0.23,6,0.7,20,0.05,1,0.0,769.7,9415,1222.39,13619,21191.07,169247,1410384.0
